language,word,translation,type,family,case,added by,Created,Definition
🇩🇪,das Plätzchen,galleta navideña,Nomen,,Nominativ,Coco Guerra,"July 3, 2024 4:34 PM",
🇩🇪,der Niere,el riñon,Nomen,,,Coco Guerra,"December 21, 2023 12:28 PM",
🇩🇪,die Krawatte,la corbayta,Nomen,,,Coco Guerra,"December 21, 2023 9:30 AM",
🇩🇪,flicken,reparar,Verb,,,Coco Guerra,"December 18, 2023 12:04 PM",
🇩🇪,fangen,capturar,Verb,,,Coco Guerra,"December 15, 2023 10:43 AM",
🇩🇪,das Essbesteck,cubiertos,Nomen,,,Coco Guerra,"December 15, 2023 9:27 AM",
🇩🇪,Wechselkurs,tipo de cambio,Nomen,,,Coco Guerra,"November 13, 2023 10:41 AM",
🇩🇪,Stau,atasco,Nomen,,Nominativ,Coco Guerra,"November 13, 2023 9:24 AM",
🇩🇪,lebhaft,lively / activo,Adjektive,,,Coco Guerra,"September 28, 2023 8:17 AM",
🇩🇪,das Wohnzimmer,la sala,Nomen,,,Coco Guerra,"September 27, 2023 8:21 PM",
🇩🇪,der Fremdenführer,el guia,Nomen,,,Coco Guerra,"September 27, 2023 8:18 PM",
🇩🇪,erkundigen,preguntar sobre algo / interesarse por algo,Verb,,Akkusativ,Coco Guerra,"September 5, 2023 4:36 PM",
🇩🇪,schlendern,"pasear ",Verb,,,Coco Guerra,"September 2, 2023 1:38 PM",
🇩🇪,die Neuigkeit,novedad,Nomen,,Nominativ,Coco Guerra,"August 28, 2023 9:23 AM",
🇩🇪,ausleihen,"borrow / pedir prestado ",Verb,,Akkusativ,Coco Guerra,"August 28, 2023 8:55 AM",
🇩🇪,der Brustkorb,pecho,Nomen,,,Coco Guerra,"June 5, 2023 10:46 AM",
🇩🇪,unterstreichen,subrayar,Verb,,Akkusativ,Coco Guerra,"May 29, 2023 11:58 AM",
🇩🇪,liefern,delivery / hacer entrega de algo,Verb,,,Coco Guerra,"May 18, 2023 12:41 PM",
🇩🇪,der Lieferservice,el servicio de entrega,Nomen,,,Coco Guerra,"May 18, 2023 12:41 PM",
🇩🇪,die Lieferkosten,delivery costs,Nomen,,,Coco Guerra,"May 18, 2023 12:40 PM",
🇩🇪,der Mindestbestellwert,Mínimum order value,Nomen,,,Coco Guerra,"May 18, 2023 12:40 PM",
🇩🇪,schlau,pícaro,Adjektive,,,Coco Guerra,"May 18, 2023 12:37 PM",
🇩🇪,mitsprachen,decir conjuntamente,Verb,,Nominativ,Coco Guerra,"May 16, 2023 9:51 AM",
🇩🇪,durchhalten,aguantar algo / mantenerse firme,Verb,,Akkusativ,Coco Guerra,"May 16, 2023 9:44 AM",
🇩🇪,hinfallen,caer,Verb,,Akkusativ,Coco Guerra,"May 16, 2023 9:38 AM",
🇩🇪,"die Sehnsucht ","la añoranza ",Nomen,,,Coco Guerra,"March 14, 2023 10:00 AM",
🇩🇪,der Wandel,el cambio,Nomen,,,Coco Guerra,"March 14, 2023 9:56 AM",
🇩🇪,"die Gesellschaft ","la compañía ",Nomen,,,Coco Guerra,"March 14, 2023 9:55 AM",
🇩🇪,beitragen,contribute,Verb,,,Coco Guerra,"February 21, 2023 8:23 AM",
🇩🇪,abstimmen,votar,Verb,,,Coco Guerra,"February 21, 2023 8:23 AM",
🇩🇪,austrocknen,"secarse ",Verb,,,Coco Guerra,"February 4, 2023 1:59 PM",
🇩🇪,die Bestellung,orden / compras / solicitud,Nomen,,,Coco Guerra,"January 20, 2023 9:34 AM",
🇩🇪,stammen,proceder / provenir,Verb,,,Coco Guerra,"January 17, 2023 3:51 PM",
🇩🇪,Flüchtling,refugiado,Nomen,,,Coco Guerra,"January 17, 2023 10:52 AM",
🇩🇪,"anstrengend ","fatigoso / agotador / cansador ",Adjektive,,,Coco Guerra,"January 15, 2023 10:31 AM",
🇩🇪,verzeihen,"dispersar/ perdonar a alguien ",Verb,,Akkusativ,Coco Guerra,"January 15, 2023 9:45 AM",
🇩🇪,"bedrückt ","decaído / deprimido ",Adjektive,,,Coco Guerra,"January 15, 2023 9:32 AM",
🇩🇪,ernst,Grave / serio / con seriedad,Adjektive,,,Coco Guerra,"January 15, 2023 9:27 AM",
🇩🇪,düster,sombrío / funebre,Adjektive,,,Coco Guerra,"January 15, 2023 9:22 AM",
🇩🇪,"die Auskunft ","razón / declaración ",Nomen,,,Coco Guerra,"January 8, 2023 9:35 AM",
🇩🇪,Mist!,Mierda / coño,Expresaron,,,Coco Guerra,"January 8, 2023 9:30 AM",
